Año - mes,Dimensión valor,Cuenta,Imp. presupuestado,Imp. real,Desvio,Porcentaje de desviación
2023-05-01,Desarrollo de Proyectos,Cargas sociales Administración,0.0,-75966.72,-75966.72,
2023-06-01,Desarrollo de Proyectos,Cargas sociales Administración,0.0,-110014.58,-110014.58,
2023-07-01,Desarrollo de Proyectos,Cargas sociales Administración,0.0,-81458.68,-81458.68,
2023-08-01,Desarrollo de Proyectos,Cargas sociales Administración,0.0,-90989.78,-90989.78,
2023-04-01,Microcréditos,Cargas sociales Administración,0.0,-50644.94,-50644.94,
2023-05-01,Microcréditos,Cargas sociales Administración,0.0,-56355.7,-56355.7,
2023-06-01,Microcréditos,Cargas sociales Administración,0.0,-84399.37,-84399.37,
2023-07-01,Microcréditos,Cargas sociales Administración,0.0,-63210.72,-63210.72,
2023-08-01,Microcréditos,Cargas sociales Administración,0.0,-71182.55,-71182.55,
2023-04-01,Wanda,Cargas sociales Administración,-88885.56,-42042.58,46842.98,-52.70032612721346
2023-05-01,Wanda,Cargas sociales Administración,-100470.74,-100739.56,-268.82,0.2675604857692821
2023-06-01,Wanda,Cargas sociales Administración,-149741.48,-68966.95,80774.53,-53.94265503453018
2023-07-01,Wanda,Cargas sociales Administración,-109440.69,-56868.82,52571.87,-48.03685905123588
2023-08-01,Wanda,Cargas sociales Administración,-128045.6,-58991.82,69053.78,-53.92905339972634
2023-04-01,Corralón 1 Boulogne,Cargas sociales Corralones,-989007.63,-782414.85,206592.78,-20.888896478988745
2023-05-01,Corralón 1 Boulogne,Cargas sociales Corralones,-1196812.94,-916996.89,279816.05,-23.38009898188433
2023-06-01,Corralón 1 Boulogne,Cargas sociales Corralones,-1774949.16,-1283432.48,491516.68,-27.691873721047873
2023-07-01,Corralón 1 Boulogne,Cargas sociales Corralones,-1304253.79,-993646.81,310606.98,-23.814918720688553
2023-08-01,Corralón 1 Boulogne,Cargas sociales Corralones,-1525976.94,-1127519.65,398457.29,-26.11161935382851
2023-04-01,Corralón 2 Matanza,Cargas sociales Corralones,-123171.29,-380052.78,-256881.49,208.5563039893469
2023-05-01,Corralón 2 Matanza,Cargas sociales Corralones,-139209.62,-454857.58,-315647.96,226.74292193312505
2023-06-01,Corralón 2 Matanza,Cargas sociales Corralones,-208814.42,-663794.14,-454979.72,217.88711718280757
2023-07-01,Corralón 2 Matanza,Cargas sociales Corralones,-152614.99,-498903.33,-346288.34,226.90322883748183
2023-08-01,Corralón 2 Matanza,Cargas sociales Corralones,-179797.02,-567960.26,-388163.24,215.88969605836627
2023-04-01,Corralón 3 Barracas,Cargas sociales Corralones,-98818.89,-321646.99,-222828.1,225.49140149216407
2023-05-01,Corralón 3 Barracas,Cargas sociales Corralones,-58811.69,-295723.39,-236911.7,402.8309677888869
2023-06-01,Corralón 3 Barracas,Cargas sociales Corralones,-112476.04,-430210.07,-317734.03,282.490413069308
2023-07-01,Corralón 3 Barracas,Cargas sociales Corralones,-64475.04,-345284.61,-280809.57,435.5322152572531
2023-08-01,Corralón 3 Barracas,Cargas sociales Corralones,-159924.14,-389688.69,-229764.55,143.6709617447372
2023-04-01,Corralón 4 JC Paz,Cargas sociales Corralones,-73440.64,-238993.33,-165552.69,225.42381166612927
2023-05-01,Corralón 4 JC Paz,Cargas sociales Corralones,-82969.72,-302298.68,-219328.96,264.3481983547733
2023-06-01,Corralón 4 JC Paz,Cargas sociales Corralones,-124454.59,-515329.72,-390875.13,314.0704814503025
2023-07-01,Corralón 4 JC Paz,Cargas sociales Corralones,-90959.4,-412027.65,-321068.25,352.97973601408984
2023-08-01,Corralón 4 JC Paz,Cargas sociales Corralones,-106422.5,-463362.74,-356940.24,335.3992247879913
2023-05-01,Administración,Cargas sociales Desarrollo Inst.,0.0,-12268.11,-12268.11,
2023-06-01,Administración,Cargas sociales Desarrollo Inst.,0.0,-18375.35,-18375.35,
2023-07-01,Administración,Cargas sociales Desarrollo Inst.,0.0,-14416.04,-14416.04,
2023-08-01,Administración,Cargas sociales Desarrollo Inst.,0.0,-15475.07,-15475.07,
2023-04-01,Corralón 1 Boulogne,Cargas sociales Desarrollo Inst.,0.0,-28415.59,-28415.59,
2023-05-01,Corralón 1 Boulogne,Cargas sociales Desarrollo Inst.,0.0,-48301.08,-48301.08,
2023-06-01,Corralón 1 Boulogne,Cargas sociales Desarrollo Inst.,0.0,-72989.34,-72989.34,
2023-07-01,Corralón 1 Boulogne,Cargas sociales Desarrollo Inst.,0.0,-55025.09,-55025.09,
2023-08-01,Corralón 1 Boulogne,Cargas sociales Desarrollo Inst.,0.0,-60919.31,-60919.31,
2023-04-01,Corralón 2 Matanza,Cargas sociales Desarrollo Inst.,0.0,-12629.15,-12629.15,
2023-05-01,Corralón 2 Matanza,Cargas sociales Desarrollo Inst.,0.0,-21467.15,-21467.15,
2023-06-01,Corralón 2 Matanza,Cargas sociales Desarrollo Inst.,0.0,-32439.71,-32439.71,
2023-07-01,Corralón 2 Matanza,Cargas sociales Desarrollo Inst.,0.0,-24455.59,-24455.59,
2023-08-01,Corralón 2 Matanza,Cargas sociales Desarrollo Inst.,0.0,-27075.25,-27075.25,
2023-04-01,Corralón 3 Barracas,Cargas sociales Desarrollo Inst.,0.0,-12629.15,-12629.15,
2023-05-01,Corralón 3 Barracas,Cargas sociales Desarrollo Inst.,0.0,-21467.15,-21467.15,
2023-06-01,Corralón 3 Barracas,Cargas sociales Desarrollo Inst.,0.0,-32439.71,-32439.71,
2023-07-01,Corralón 3 Barracas,Cargas sociales Desarrollo Inst.,0.0,-24455.59,-24455.59,
2023-08-01,Corralón 3 Barracas,Cargas sociales Desarrollo Inst.,0.0,-27075.25,-27075.25,
2023-04-01,Corralón 4 JC Paz,Cargas sociales Desarrollo Inst.,0.0,-9471.87,-9471.87,
2023-05-01,Corralón 4 JC Paz,Cargas sociales Desarrollo Inst.,0.0,-36526.94,-36526.94,
2023-06-01,Corralón 4 JC Paz,Cargas sociales Desarrollo Inst.,0.0,-24329.78,-24329.78,
2023-07-01,Corralón 4 JC Paz,Cargas sociales Desarrollo Inst.,0.0,-18341.7,-18341.7,
2023-08-01,Corralón 4 JC Paz,Cargas sociales Desarrollo Inst.,0.0,-20306.44,-20306.44,
2023-04-01,Desarrollo Institucional,Cargas sociales Desarrollo Inst.,-255113.28,-236800.45,18312.83,-7.178313100752727
2023-05-01,Desarrollo Institucional,Cargas sociales Desarrollo Inst.,-288073.51,-225706.11,62367.4,-21.649821255692693
2023-06-01,Desarrollo Institucional,Cargas sociales Desarrollo Inst.,-432110.27,-393524.19,38586.08,-8.929683619877865
2023-07-01,Desarrollo Institucional,Cargas sociales Desarrollo Inst.,-315813.92,-268295.7,47518.22,-15.046271551298302
2023-08-01,Desarrollo Institucional,Cargas sociales Desarrollo Inst.,-369502.29,-307112.01,62390.28,-16.884950834810788
2023-04-01,Corralón 1 Boulogne,Cargas sociales Expansión Inst.,0.0,-49841.58,-49841.58,
2023-05-01,Corralón 1 Boulogne,Cargas sociales Expansión Inst.,0.0,-54979.03,-54979.03,
2023-06-01,Corralón 1 Boulogne,Cargas sociales Expansión Inst.,0.0,-82408.17,-82408.17,
2023-07-01,Corralón 1 Boulogne,Cargas sociales Expansión Inst.,0.0,-60332.24,-60332.24,
2023-08-01,Corralón 1 Boulogne,Cargas sociales Expansión Inst.,0.0,-69453.46,-69453.46,
2023-04-01,Corralón 2 Matanza,Cargas sociales Expansión Inst.,0.0,-22151.81,-22151.81,
2023-05-01,Corralón 2 Matanza,Cargas sociales Expansión Inst.,0.0,-24435.13,-24435.13,
2023-06-01,Corralón 2 Matanza,Cargas sociales Expansión Inst.,0.0,-36625.85,-36625.85,
2023-07-01,Corralón 2 Matanza,Cargas sociales Expansión Inst.,0.0,-26814.32,-26814.32,
2023-08-01,Corralón 2 Matanza,Cargas sociales Expansión Inst.,0.0,-30868.2,-30868.2,
2023-04-01,Corralón 3 Barracas,Cargas sociales Expansión Inst.,0.0,-22151.81,-22151.81,
2023-05-01,Corralón 3 Barracas,Cargas sociales Expansión Inst.,0.0,-24435.13,-24435.13,
2023-06-01,Corralón 3 Barracas,Cargas sociales Expansión Inst.,0.0,-36625.85,-36625.85,
2023-07-01,Corralón 3 Barracas,Cargas sociales Expansión Inst.,0.0,-26814.32,-26814.32,
2023-08-01,Corralón 3 Barracas,Cargas sociales Expansión Inst.,0.0,-30868.2,-30868.2,
2023-04-01,Corralón 4 JC Paz,Cargas sociales Expansión Inst.,0.0,-62595.91,-62595.91,
2023-05-01,Corralón 4 JC Paz,Cargas sociales Expansión Inst.,0.0,-18326.34,-18326.34,
2023-06-01,Corralón 4 JC Paz,Cargas sociales Expansión Inst.,0.0,-27469.39,-27469.39,
2023-07-01,Corralón 4 JC Paz,Cargas sociales Expansión Inst.,0.0,-20110.74,-20110.74,
2023-08-01,Corralón 4 JC Paz,Cargas sociales Expansión Inst.,0.0,-23151.15,-23151.15,
2023-04-01,Microcréditos,Cargas sociales Microcréditos,-186754.59,-113300.47,73454.12,-39.33189540348111
2023-05-01,Microcréditos,Cargas sociales Microcréditos,-211165.03,-123644.8,87520.23,-41.44636543276128
2023-06-01,Microcréditos,Cargas sociales Microcréditos,-316747.55,-185804.54,130943.01,-41.33986513865695
2023-07-01,Microcréditos,Cargas sociales Microcréditos,-231499.44,-142256.16,89243.28,-38.550106211919996
2023-08-01,Microcréditos,Cargas sociales Microcréditos,-270854.35,-156390.48,114463.87,-42.260303369689275
2023-04-01,Desarrollo de Proyectos,Cargas sociales Proyectos,-157411.25,-166667.43,-9256.18,5.880253158525831
2023-05-01,Desarrollo de Proyectos,Cargas sociales Proyectos,-166834.19,-183667.06,-16832.87,10.089580558996927
2023-06-01,Desarrollo de Proyectos,Cargas sociales Proyectos,-262558.73,-275366.42,-12807.69,4.878028622396218
2023-07-01,Desarrollo de Proyectos,Cargas sociales Proyectos,-187346.6,-208230.75,-20884.15,11.147333338315184
2023-08-01,Desarrollo de Proyectos,Cargas sociales Proyectos,-219195.52,-231865.77,-12670.25,5.7803416785160575
2023-04-01,Administración,Cargas sociales RRHH,0.0,-108055.48,-108055.48,
